Moisture (%),Foreign Matter (%),Broken (%),Red & Chalky grains (%),Damaged Grain (%),Discolored grain(%)/ 1mm/ Shrivelled,Mixed ( lower class) (%) (Other Grain),Final Value,outcome
12.6,0.35,15.76,1.08,1.03,0.91,4.87,8.1522,A
13.1,0.2,12,0.5,0.28,0.3,1,7.8688,A
12.5,0.3,18,3.5,1.2,0.9,6,8.568,B
14,0.5,20,6,2,2,10,9.9,C
12.4,0.11,15.96,0.9,1.05,1.2,2.9,8.019,A
11.5,0.4,18.7,3.2,1.3,1.5,5.1,8.158,A
14.2,0.01,4.02,0.24,0.4,2.09,1.2,7.6356,A
13.3,0.25,8.83,0.38,0.6,1.88,0.94,7.7322,A
13.2,0.24,8.23,1.64,0.94,0.94,1.9,7.729,A
14.4,0.2,19.38,1.14,0.65,2.28,18.57,9.4222,C
13.8,0.35,12.8,1.65,4.2,1.2,7.24,8.715,B
13.1,0.4,10.2,0.45,1.5,1.2,4.5,7.833,A
13.7,0.25,11.8,1.38,1.3,1.43,1.55,8.3532,B
13.7,0.19,14.5,3.95,0.8,1.8,9.2,8.853,B
12.8,,20.33,1.33,1.33,1.33,,8.699,B
13.2,0.1,16.5,3.5,1.9,1.8,6.2,8.806,B
13.6,0.1,15.8,3.5,1.6,1.9,6.5,8.922,C
14.2,0.2,14.9,5.47,1.6,1.9,9.3,9.349,C
14.3,0.3,14.8,5.2,1.5,1.87,8.92,9.3748,C
14.1,0.2,15,5.47,1.2,1.89,9.15,9.2846,C
14.2,0.3,14.35,5.75,1.03,1.82,9.03,9.3046,C
13.3,0.2,14.57,5.7,1.15,1.93,9.02,8.8632,B
13.3,0.3,15,5.1,1.2,1.8,9.01,8.864,B
13.1,0.3,14.2,5.4,1.5,1.8,9.2,8.732,B
13.2,0.2,14.82,5.8,1.2,1.9,9.23,8.85,B
13.3,0.3,14.82,5.8,1.3,1.88,9.3,8.9252,C
14.3,0.3,25.02,4.65,2.15,2.15,8.38,10.392,C
14.4,0.2,19.38,1.14,0.65,2.28,18.57,9.4222,C
14.2,0.2,18.4,6.4,1.6,1.7,9.3,9.784,C
14.2,0.3,18.2,6.5,1.7,1.9,9.3,9.808,C
13.3,0.3,19.45,4.32,1.2,2.35,6.19,9.253,C
13.3,0.2,21.14,4.34,1.12,2.34,6.39,9.3988,C
13.2,0.3,20.1,4.32,1.38,1.98,6.48,9.264,C
13.3,0.2,19.18,4.1,1.15,1.93,7.2,9.1642,C
13.1,0.2,17.73,5.4,1.5,1.7,7.3,9.061,C
13.3,0.2,14.57,5.7,1.15,1.93,9.02,8.8632,B
13.3,0.3,15,5.1,1.2,1.8,9.01,8.864,B
13.1,0.3,14.2,5.4,1.5,1.8,9.2,8.732,B
13.2,0.2,14.82,5.8,1.2,1.9,9.23,8.85,B
13.3,0.3,14.82,5.8,1.3,1.88,9.3,8.9252,B
14.2,0.2,14.9,5.47,1.6,1.9,9.3,9.349,C
14.3,0.3,14.8,5.2,1.5,1.87,8.92,9.3748,C
14.1,0.2,15,5.47,1.2,1.89,9.15,9.2846,C
14.2,0.3,14.35,5.75,1.03,1.82,9.03,9.3046,C
